,Data_Source,Date,compound,neg,neu,pos,tweet
1914,@nytimes,2017-12-11,-0.296,0.121,0.879,0.0,86
1915,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,85
1916,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,84
1917,@nytimes,2017-12-11,0.4767,0.0,0.853,0.147,83
1918,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,82
1919,@nytimes,2017-12-11,-0.5106,0.216,0.784,0.0,81
1920,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,80
1921,@nytimes,2017-12-11,-0.6597,0.241,0.759,0.0,79
1922,@nytimes,2017-12-11,-0.1531,0.068,0.932,0.0,78
1923,@nytimes,2017-12-11,-0.296,0.099,0.901,0.0,77
1924,@nytimes,2017-12-11,0.0,0.0,1.0,0.0,76
1925,@nytimes,2017-12-11,-0.8126,0.399,0.435,0.167,75
1926,@nytimes,2017-12-11,-0.296,0.207,0.667,0.127,74
